width,height,samples,max_depth,focal_length_mm,fstop,focal_distance,aperture_blades,exposure,iso,threads,time_seconds,mrays_per_second
600,337,1000,50,120mm,f/20.0,26 units,6-blade,1/0.017,100,32,26.29,7.6922
600,337,1000,50,120mm,f/20.0,26 units,6-blade,1/0.017,100,32,25.83,7.8282
600,337,1000,50,120mm,f/20.0,26 units,6-blade,1/0.017,100,32,26.89,7.5202
600,337,125,50,120mm,f/20.0,26 units,6-blade,1/0.017,100,32,4.29,5.8909
600,337,125,50,120mm,f/20.0,26 units,6-blade,1/0.017,100,32,4.27,5.9249
600,337,125,50,120mm,f/20.0,26 units,6-blade,1/0.017,100,32,4.16,6.0820
600,337,125,50,120mm,f/20.0,26 units,6-blade,1/0.017,100,32,4.15,6.0917
600,337,125,50,120mm,f/20.0,26 units,6-blade,1/0.017,100,32,4.26,5.9342
600,337,125,50,120mm,f/20.0,26 units,6-blade,1/0.017,100,32,4.15,6.0916
600,337,125,50,120mm,f/20.0,26 units,6-blade,1/0.017,100,32,4.19,6.0355
600,337,125,50,120mm,f/20.0,26 units,6-blade,1/0.017,100,32,4.18,6.0482
600,337,125,50,120mm,f/1.8,26 units,6-blade,1/0.017,100,32,4.18,6.0525
600,337,125,50,120mm,f/1.8,26 units,6-blade,1/0.017,100,32,4.16,6.0703
600,337,125,50,120mm,f/1.8,26 units,4-blade,1/0.017,100,32,4.18,6.0444
600,337,125,50,120mm,f/1.8,26 units,3-blade,1/0.017,100,32,4.16,6.0792
600,337,125,50,120mm,f/20.0,26 units,6-blade,1/0.017,100,32,4.29,5.8919
600,337,125,50,120mm,f/20.0,26 units,6-blade,1/0.017,100,32,4.28,5.9047
600,337,125,50,120mm,f/20.0,26 units,6-blade,1/0.017,100,32,4.27,5.9244
600,337,1025,50,120mm,f/20.0,26 units,6-blade,1/0.017,100,32,26.58,7.7986
600,337,125,50,120mm,f/20.0,26 units,6-blade,1/0.017,100,32,3.98,6.3497
600,337,125,50,40mm,f/20.0,800 units,6-blade,1/0.017,100,32,3.78,6.6846
600,337,125,50,40mm,f/20.0,800 units,6-blade,1/0.017,100,32,3.59,7.0449
600,337,125,50,40mm,f/20.0,800 units,6-blade,1/0.017,100,32,3.81,6.6318
600,337,125,50,40mm,f/20.0,800 units,6-blade,1/0.017,100,32,3.78,6.6923
600,600,125,50,40mm,f/20.0,50 units,6-blade,1/0.017,100,32,9.53,4.7237
600,600,125,50,60mm,f/20.0,50 units,6-blade,1/0.017,100,32,15.02,2.9969
600,600,125,50,55mm,f/20.0,50 units,6-blade,1/0.017,100,32,14.57,3.0884
600,600,125,50,50mm,f/20.0,50 units,6-blade,1/0.017,100,32,13.35,3.3706
600,600,125,50,50mm,f/20.0,50 units,6-blade,1/0.017,100,32,12.75,3.5288
600,600,125,50,50mm,f/20.0,50 units,6-blade,1/0.017,100,32,12.71,3.5407
600,600,125,50,50mm,f/20.0,50 units,6-blade,1/0.017,100,32,13.32,3.3775
600,600,200,50,50mm,f/20.0,50 units,6-blade,1/0.017,100,32,20.47,3.5170
600,600,500,50,50mm,f/20.0,50 units,6-blade,1/0.017,100,32,48.09,3.7430
600,600,500,50,50mm,f/20.0,50 units,6-blade,1/0.017,100,32,47.89,3.7588
600,600,125,50,50mm,f/20.0,50 units,6-blade,1/0.017,100,32,21.63,2.0806
600,600,125,50,50mm,f/20.0,50 units,6-blade,1/0.017,100,32,21.64,2.0794
600,600,125,50,50mm,f/20.0,50 units,6-blade,1/0.017,100,32,21.69,2.0749
600,600,500,50,50mm,f/20.0,50 units,6-blade,1/0.017,100,32,81.18,2.2174
600,600,500,50,50mm,f/20.0,50 units,6-blade,1/0.017,100,32,82.14,2.1914
600,600,125,50,50mm,f/20.0,50 units,6-blade,1/0.017,100,32,13.85,3.2489
600,600,125,50,50mm,f/20.0,50 units,6-blade,1/0.017,100,32,13.85,3.2492
600,600,125,50,50mm,f/20.0,50 units,6-blade,1/0.017,100,32,13.73,3.2777
600,600,125,50,50mm,f/20.0,50 units,6-blade,1/0.017,100,32,13.74,3.2755
600,600,125,50,50mm,f/20.0,50 units,6-blade,1/0.017,100,32,13.65,3.2959
600,600,125,50,50mm,f/20.0,50 units,6-blade,1/0.017,100,32,19.39,2.3211
600,600,125,50,50mm,f/20.0,50 units,6-blade,1/0.017,100,32,19.34,2.3271
600,600,125,50,50mm,f/20.0,50 units,6-blade,1/0.017,100,32,19.43,2.3159
600,600,125,50,50mm,f/20.0,50 units,6-blade,1/0.017,100,32,19.47,2.3114
600,600,125,50,50mm,f/20.0,50 units,6-blade,1/0.017,100,32,19.40,2.3199
600,600,125,50,50mm,f/20.0,50 units,6-blade,1/0.017,100,32,19.49,2.3093
600,600,125,50,50mm,f/20.0,50 units,6-blade,1/0.017,100,32,19.48,2.3098
600,600,125,50,50mm,f/20.0,50 units,6-blade,1/0.017,100,32,19.49,2.3093
600,600,125,50,50mm,f/20.0,50 units,6-blade,1/0.017,100,32,19.57,2.2994
600,600,125,50,50mm,f/20.0,50 units,6-blade,1/0.017,100,32,20.97,2.1458
600,600,125,50,50mm,f/20.0,50 units,6-blade,1/0.017,100,32,19.67,2.2881
600,600,125,50,50mm,f/20.0,50 units,6-blade,1/0.017,100,32,15.39,2.9248
600,600,125,50,50mm,f/20.0,50 units,6-blade,1/0.017,100,32,15.49,2.9059
